var,description
sc_hiv_1___1,
s6_serum___1,
ae_related_34_v2_3,Relationship to Study Vaccine
d364_app_st_v3_2,Start date
med_start_mo_21_v2_3,Start Date - Month
d14_sys,
med_stop_yr_7_v2_3,Stop Date - Year
travelhist_country1_start_mo_v2_3,Start Date - Month
incl3,
medication_name_17_v2_3,Mediation Name or Therapy
d56_conmed_v3_2,7. Did the participant take any concomitant medication since previous visit?
sc_proof_contr_v2_3,"If Yes, proof of contraception available to copy?"
pospcr_data_sources___5,
medhist_eyes_det_v2_3,Details
med_start_mo_14_v2_3,Start Date - Month
ae_sev_18_v2_3,Severity
pospcr_symptoms___5,
medhist_eyes_v2_3,Eyes
med_stop_mo_25_v2_3,Stop Date - Month
pospcr_appetite_onset,Date of onset (Loss of appetite):
tmt,
ae_sae_4_v2_3,"If ticked, specify reason"
d56_serum_2b_v3_2___1,
dc_pv_head_5_v2_3,Day 5
d14_naus_vom,
d182_weak_v3_2,Fatigue/Weakness
dc_ill_throat_10_v2_3,Sore throat Day 10
medication_dose_31_v2_3,Dose
excl11,
d14_smell_st,
d28_serum_2b_tim,
medication_route_35_v2_3,Route Code
dc_pv_sweat_visit_v2_3,Medical visit
d3_redness,
dc_pv_bruis_visit_v2_3,Medical visit
d56_sys_v3_2,Systolic BP
d56_serum_2b_tim_v3_2,Time
ae_llt_v3,LLT
medication_route_20_v2_3,Route Code
icf_sc_hiv_copy_v3_0,11. Was a copy of the HIV testing consent form given to the participant?
pospcr_diarr,pospcr_diarr
dc_pv_muscle_med_v2_3,Medication
d14_loc,
pospcr_symptoms___9,
med_start_date_26_v2_3,
med_ongoing_end_13_v2_3___1,
med_stop_yr_11_v2_3,Stop Date - Year
pospcr_asymptomatic_r2,Was the COVID-19 infection entirely asymptomatic?
unblinding_form_complete,
pospcr_fever_onset_r2,Date of onset (fever):
icf_sc_hiv_v3_0,10. Did the participant give permission for HIV and hepatitis testing?
d364_othsamp_sp_v3_2,Specify other sample
d56_ue_13_v3_2___1,
s1_vacc_route_sp,"If other, specify"
med_start_yr_10_v2_3,Start Date - Year
dc_ill_body_9_v2_3,Body aches Day 9
medhist_resp_det_v2_3,Details
d42_eyes_st_v3_2,Start date
med_stop_mo_14_v2_3,Stop Date - Month
dc_pv_itch_med_v2_3,Medication
dc_pv_cough_visit_v2_3,Medical visit
pospcr_chills_qresol_r2,Is symptom (chills) resolution date known?
pe_tim_v2_3,Time
s1_gen_det_ncs,General - Abnormal NCS details
med_ongoing_end_18_v2_3___1,
dc_pv_redness_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
med_start_mo_9_v2_3,Start Date - Month
d182_oxy_v3_2,Oxygen saturation
d7_resp,
medication_route_30_v2_3,Route Code
dc_ill_eyes_9_v2_3,Redness of the eyes Day 9
pospcr_chestpain_dur_r2,How long was the 'Chest pain' symptom present (needs not be contiguous days)? 
dc_pv_med5_dose_v2_3,Dosage
ae_og_6_v2_3___1,
pospcr_headache_qresol_r2,Is symptom (headache) resolution date known?
pv60_itch,
sx_sal_tim,Time
d14_chills,
d3_smell,
s1_skin_det_ncs,Skin - Abnormal NCS details
d3_oth2_sp,
d42_sae_v3_2,6. Has there been any serious reactions or hospitalizations since previous visit?
ae_related_3_v2_3,Relationship to Study Vaccine
ae_outcome_27_v2_3,Outcome
ae_yes_sae_31_v2_3___1,
medication_frequency_35_v2_3,Frequency
dc_pv_joint_2_v2_3,Day 2
d364_weak_st_v3_2,Start date
ae_sev_26_v2_3,Severity
s6_resp_det_ncs,Respiratory - Abnormal NCS details
ae_sev_14_v2_3,Severity
med_start_day_34_v2_3,Start Date - Day
d3_throat,
med_start_mo_13_v2_3,Start Date - Month
ev_resp_det_cs,
med_stop_yr_26_v2_3,Stop Date - Year
dc_ill_eyes_6_v2_3,Redness of the eyes Day 6
s1_abdo_det_ns,Abdomen - Abnormal CS details
dc_pv_breath_med_v2_3,Medication
med_stop_mo_27_v2_3,Stop Date - Month
d56_body_v3_2,Body aches
vacc_date_r2,Vaccination date
ae_sae_7_v2_3,"If ticked, specify reason"
s1_vacc_site,Site
s6_inject_det_ncs,Injection site - Abnormal NCS details
d182_resp_v3_2,Respiratory rate
pospcr_anosmia_dur_r2,How long was the 'Anosmia' symptom present (needs not be contiguous days)? 
pospcr_symptoms___4,
dc_pv_cough_2_v2_3,Day 2
ae_yes_sae_25_v2_3___1,
pospcr_vomit_dur_r2,How long was the 'Nausea or vomiting' symptom present (needs not be contiguous days)? 
medhist_haem_v2_3,Haematological
med_ongoing_end_27_v2_3___1,
fu_np_datetime1,
excl27,
travelhist_country1_start_day_v2_3,Start Date - Day
d28_lft_13___1,
ae_related_9_v2_3,Relationship to Study Vaccine
ev_nasal,
herbal3_ind_v2_3,Indication
medication_dose_26_v2_3,Dose
d28_family_add,
ae_related_14_v2_3,Relationship to Study Vaccine
ae_date_13_v2_3,Start Date
s6_lymph_det_cs,Lymphatic - Abnormal CS details
mh_sos,SOS
ev_inject_det_ncs,
pospcr_fever_r2,pospcr_fever
ae_sdate_16_v2_3,Stop Date
pospcr_lrtd_level_r2,Any evidence of significant LRTI (including one of the following list):
pospcr_norb_onset,Date of onset (New onset rapid breathing):
d364_serum_2b_tim_v3_2,Time
medication_route_10_v2_3,Route Code
dc_ill_naus_vom_1_v2_3,Nausea and/or vomitting Day 1
icf_sc_stor_v3_0,12. Did the participant give permission for samples storage for future use?
icf_re_file_v3_0,Was a copy of the ICF placed in the participant file
dc_pv_med4_dat_v2_3,Date taken
vac_crf_status,
dc_ill_eyes_7_v2_3,Redness of the eyes Day 7
icf_sc_stor_copy_v3_0,13. Was a copy of the sample storage form given to the participant?
d7_rapid,
pe_locked_date_v2_3,Locked date
dc_pv_weak_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
d42_neut_2b_v3_2___1,
travelhist_country3_start_day_v2_3,Start Date - Day
pospcr_cough_qresol,Is symptom (cough) resolution date known?
informed_consent_v2_3_complete,
s6_ent_det_cs,ENT - Abnormal CS details
ae_sdate_24_v2_3,Stop Date
med_stop_day_21_v2_3,Stop Date - Day
start_date_event_r2,"<div class=""rich-text-field-label""><p>Enter the start date for this event (symptom onset or date of first positive PCR, whichever comes first)<br /><br /><em>Enter date as: DD-MM-YYYY e.g. 19-08-2020</em></p></div>"
pospcr_nose_onset,Date of onset (Runny nose):
med_ongoing_end_30_v2_3___1,
mh_hlt,HLT
medication_dis_13_v2_3,Disease Indication
dc_ill_breath_3_v2_3,Shortness of breath Day 3
dc_pv_weak_6_v2_3,Day 6
medication_dose_unit_10_v2_3,Unit Code
ae_date_35_v2_3,Start Date
dc_pv_redness_1_v2_3,Day 1
dc_ill_med5_freq_v2_3,Frequency
medication_route_5_v2_3,Route Code
dc_ill_med3_freq_v2_3,Frequency
prevac_serum_3_tim,
pospcr_chestpain_onset,Date of onset (chest pain):
sc_last_period_date_mo_v2_3,Month
vital_locked_date_v2_3,Locked date
dc_pv_head_1_v2_3,Day 1
pospcr_tired_dur_r2,How long was the 'Tiredness (or fatigue or weakness)' symptom present (needs not be contiguous days)? 
s6_ns___1,
dc_pv_feverish_2_v2_3,Day 2
medication_tmt_1_v2_3,Prophylaxis or Treatment
medhist_psych_v2_3,Psychiatric
medication_dis_16_v2_3,Disease Indication
d28_oth2_sp,
pv60_dressing_2,
icf_vers_v2_3,Version
d7_bld_13_tim,
dc_pv_med6_freq_v2_3,Frequency
med_start_day_32_v2_3,Start Date - Day
d14_temp,
med_start_date_34_v2_3,
d28_cough_st,
exam_ent_det_cs_v2_3,ENT - Abnormal CS details
herbal1_st_mo_v2_3,Start Date Month
icf_re_visit_dat_v3_0,Date of visit
pospcr_throat_dur,How long was the 'Sore throat' symptom present (needs not be contiguous days)? 
ev_chills.1,
dc_ill_chill_6_v2_3,Chills Day 6
dc_ill_body_1_v2_3,Body aches Day 1
ae_name_32_v2_3,Adverse event name
d364_sae_v3_2,6. Has there been any serious reactions or hospitalizations since previous visit?
d182_run_st_v3_2,Start date
dc_pv_med6_dose_v2_3,Dosage
d364_oth1_st_v3_2,Start date
dc_pv_med4_dose_v2_3,Dosage
d7_eyes_st,
dc_ill_diarr_1_v2_3,Diarrhoea Day 1
pospcr_chestpain_dur,How long was the 'Chest pain' symptom present (needs not be contiguous days)? 
med_start_yr_11_v2_3,Start Date - Year
medhist_cancer_v2_3,Cancer
d182_oth2_v3_2,Other
d182_sys_v3_2,Systolic BP
dc_pv_itch_2_v2_3,Day 2
medication_frequency_15_v2_3,Frequency
med_start_yr_3_v2_3,Start Date - Year
ae_outcome_18_v2_3,Outcome
medhist_surgery_v2_3,Surgical
d182_othsamp_v3_2___1,
dc_ill_cough_1_v2_3,Cough Day 1
pospcr_other_onset,Date of onset (Other):
s1_itch,Itch
s1_resp_2,Respiratory rate
med_start_yr_5_v2_3,Start Date - Year
icf_vc_wit_sign_v3_0,"If yes, did witness sign ICF?"
dc_ill_date_v2_3,Date for first symptoms
cm_med_id,MED ID
vs_un_bp_dia_v2_3,Diastolic BP
d182_nasal_st_v3_2,Start date
ev_rapid.1,
ae_outcome_10_v2_3,Outcome
ae_related_33_v2_3,Relationship to Study Vaccine
herbal2_st_yr_v2_3,Start Date Year
herbal1_st_day_v2_3,Start Date - Day
ae_og_30_v2_3___1,
med_start_day_21_v2_3,Start Date - Day
incl6,
icf_sc_stor_vers_v3_0,Version
dc_ill_cough_10_v2_3,Cough Day 10
d28_temp,
medication_tmt_35_v2_3,Prophylaxis or Treatment
medication_route_11_v2_3,Route Code
conmeds2_st_mo_v2_3,Start Date Month
ae_date_33_v2_3,Start Date
icf_re_lit_v3_0, Is the participant literate? 
med_start_mo_19_v2_3,Start Date - Month
dc_pv_head_med_v2_3,Medication
medication_dose_unit_12_v2_3,Unit Code
dc_pv_bruis_3_v2_3,Day 3
dc_pv_swelling_2_v2_3,Day 2
dc_ill_med10_dat_v2_3,Date taken
cm_who_drug_code_complete,
excl14,
ae_sae_2_v2_3,"If ticked, specify reason"
dc_pv_sweat_0_v2_3,Day 0
pospcr_chestpain,pospcr_chestpain
dc_pv_tenderness_0_v2_3,Day 0
dc_ill_med12_v2_3,Name of medication
dc_ill_med5_dose_v2_3,Dosage
d28_sys,
dc_pv_smell_0_v2_3,Day 0
dc_pv_itch_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
med_stop_yr_22_v2_3,Stop Date - Year
dc_ill_fatigure_10_v2_3,Fatigue/weakness Day 10
d364_ns_3_v3_2___1,
icf_re_wit_v3_0,Is a witness needed to the informed consent process (if illiterate)?
d182_cough_st_v3_2,Start date
med_start_mo_27_v2_3,Start Date - Month
sx_temp,Oral temperature
pcr_asymptomatic,Asymptomatic outcome
d3_body_st,
dc_ill_oth1_10_v2_3,Other 1 Day 10
dc_ill_taste_9_v2_3,Loss of sense of taste Day 9
pospcr_condition_r2___2,
dc_ill_taste_2_v2_3,Loss of sense of taste Day 2
pospcr_fever_qresol_r2,Is symptom (fever) resolution date known?
medication_dose_20_v2_3,Dose
dc_pv_temp_2_v2_3,Day 2
med_stop_mo_31_v2_3,Stop Date - Month
d28_breath_st,
medication_tmt_32_v2_3,Prophylaxis or Treatment
med_start_day_15_v2_3,Start Date - Day
med_start_mo_22_v2_3,Start Date - Month
pospcr_symptoms_r2___8,
pv60_redness_2,
med_start_yr_33_v2_3,Start Date - Year
medication_dose_29_v2_3,Dose
d28_ue_13___1,
d56_run_st_v3_2,Start date
dc_pv_med3_freq_v2_3,Frequency
d42_oxy_v3_2,Oxygen saturation
dc_pv_itch_5_v2_3,Day 5
pospcr_headache_qresol,Is symptom (headache) resolution date known?
med_start_day_19_v2_3,Start Date - Day
med_stop_date_31_v2_3,
pospcr_anosmia_resol,Date of symptom resolution (anosmia):
pv60_nausea_2,
med_start_mo_29_v2_3,Start Date - Month
dc_pv_head_2_v2_3,Day 2
ev_breath_st,
med_start_date_25_v2_3,
ev_skin_det_ncs,
dc_pv_bruis_2_v2_3,Day 2
dc_pv_temp_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
pospcr_symptoms_r2___20,
pv60_tim,
ae_og_4_v2_3___1,
d7_chest,
dc_ill_taste_8_v2_3,Loss of sense of taste Day 8
s6_warmth,Warmth
dc_pv_rigor_2_v2_3,Day 2
ae_sdate_17_v2_3,Stop Date
ae_og_24_v2_3___1,
ae_name_25_v2_3,Adverse event name
ae_crf_status_v2_3,CRF Status
ev_breath,
dc_ill_temp_pm_5_v2_3,"Temperature, afternoon Day 5"
d28_chest_st,
d182_oth2_sp_v3_2,Other: Specify
dc_ill_breath_4_v2_3,Shortness of breath Day 4
ev_diarr_st,
ae_name_4_v2_3,Adverse event name
dc_pv_med3_dat_v2_3,Date taken
prevac_serum_2a___1,
d56_rapid_v3_2,Rapid breathing
d3_breath,
d7_redness,
pospcr_anosmia_qresol_r2,Is symptom (anosmia) resolution date known?
ev_dia,
medhist_cancer_det_v2_3,Details
pospcr_chills_onset_r2,Date of onset (chills):
social_smoking_v2_3,Does the participant smoke?
vital_un_crf_status_v2_3,CRF Status
ae_related_10_v2_3,Relationship to Study Vaccine
d28_serum_2a___1,
med_start_mo_31_v2_3,Start Date - Month
dc_pv_weak_4_v2_3,Day 4
incl_sat,
prevac_ns_2b___1,
pospcr_run_r2,pospcr_run
adverse_event_term_v3,Adverse Event Term:
icf_sc_hiv_dat_v3_0,Date of consent
icf_ad_tel_copy_v1_0,8. Was a copy of the telephonic informed consent placed in the participant file? 
d56_sae_v3_2,6. Has there been any serious reactions or hospitalizations since previous visit?
dc_pv_rigor_visit_v2_3,Medical visit
s1_tim,Time
dc_pv_med2_dat_v2_3,Date taken
supplementary_visit_x_complete,
d7_throat_st,
ae_og_35_v2_3___1,
icf_vc_lang_v3_0,8. Preferred language for signing ICF
dc_pv_swelling_4_v2_3,Day 4
ae_og_18_v2_3___1,
medication_frequency_23_v2_3,Frequency
d182_fever_st_v3_2,Start date
pospcr_headache_dur_r2,How long was the 'Headache' symptom present (needs not be contiguous days)? 
d182_smell_st_v3_2,Start date
dc_pv_itch_4_v2_3,Day 4
medication_dose_18_v2_3,Dose
start_date_event,"<div class=""rich-text-field-label""><p>Enter the start date for this event (symptom onset or date of first positive PCR, whichever comes first)</p> <p><br /><em>Enter date as: DD-MM-YYYY e.g. 19-08-2020</em></p></div>"
pospcr_lrtd_resol,Date of symptom resolution (radiographic findings consistent with LRTD):
ev_cv,
ev_cough.1,
ae_sae_26_v2_3,"If ticked, specify reason"
exam_skin_v2_3,Skin
ae_yes_sae_14_v2_3___1,
sc_healthcare_v2_3,2. Is participant currently employed as a health care worker?
d364_chills_v3_2,Chills
dc_pv_med2_dose_v2_3,Dosage
d56_oth1_v3_2,Other
d3_swelling,
pospcr_headache_onset,Date of onset (headache):
medication_route_16_v2_3,Route Code
medication_dose_14_v2_3,Dose
icf_ad_tel_v1_0___1,
s6_redness,Redness
dc_pv_med1_v2_3,Name of medication
ae_sae_3_v2_3,"If ticked, specify reason"
dc_ill_temp_pm_2_v2_3,"Temperature, afternoon Day 2"
ae_outcome_25_v2_3,Outcome
adverse_events_v2_3_complete,
trasnport_mode_v2_3,5.	How will the participant primarily travel to the clinic?
medication_frequency_31_v2_3,Frequency
d28_eyes_st,
ae_sdate_19_v2_3,Stop Date
med_start_day_17_v2_3,Start Date - Day
supplementary_visit_6_complete,
icf_ad_cons_v1_0,13. Was informed consent obtained from the participant for their continued participation in the study? 
prevac_preg_2,
ae_outcome_30_v2_3,Outcome
social_alcohol_det_v2_3,Nr/week: __
medication_dose_unit_14_v2_3,Unit Code
d28_ns_2a_tim,
excl19,
s6_sys_2,Systolic BP
d42_chills_st_v3_2,Start date
allergen2_v2_3,2. Allergen1
ae_name_12_v2_3,Adverse event name
ev_fever_st,
dc_ill_eyes_1_v2_3,Redness of the eyes Day 1
dc_pv_taste_3_v2_3,Day 3
pv60_resp_2,
pv60_redness,
travelhist_country2_start_yr_v2_3,Start Date - Year
d28_nasal_st,
eos_crf_status_v2_3,CRF Status
pospcr_throat,pospcr_throat
pospcr_headache_r2,pospcr_headache
medco_diabetes___4,
medhist_infect_v2_3,"Severe, recurrent infections"
medication_frequency_13_v2_3,Frequency
icf_ad_tim_v1_0,time of consent
pospcr_symptoms___14,
s6_ent,ENT
med_stop_mo_16_v2_3,Stop Date - Month
ae_yes_sae_20_v2_3___1,
medication_route_26_v2_3,Route Code
herbal1_v2_3,1.  NAME
med_start_yr_18_v2_3,Start Date - Year
ae_name_35_v2_3,Adverse event name
med_stop_date_18_v2_3,
d42_taste_st_v3_2,Start date
pospcr_data_sources_r2___1,
medication_frequency_27_v2_3,Frequency
d364_serum_2a_tim_v3_2,Time
icf_hiv_copy_v2_3,12. Was a copy of the HIV testing consent form given to the participant?
ae_sdate_26_v2_3,Stop Date
pospcr_symptoms_r2___15,
pospcr_symptoms___13,
d182_serum_2a_v3_2___1,
dc_pv_temp_1_v2_3,Day 1
med_stop_date_7_v2_3,
med_start_date_10_v2_3,
ae_date_30_v2_3,Start Date
d56_weak_st_v3_2,Start date
d364_diarr_st_v3_2,Start date
med_stop_mo_18_v2_3,Stop Date - Month
pv60_headache_2,
s1_cv_det_ncs,Cardiovascular - Abnormal NCS details
d3_induration_comment,
medication_dose_unit_29_v2_3,Unit Code
pospcr_throat_r2,pospcr_throat
d364_othsamp_tim_v3_2,Time
d7_cough,
dc_pv_hard_1_v2_3,Day 1
med_stop_day_26_v2_3,Stop Date - Day
med_stop_day_27_v2_3,Stop Date - Day
ev_app.1,
dc_pv_head_4_v2_3,Day 4
ev_lymph_det_cs,
sc_preg_test_v2_3,3. Urine pregnancy test performed?
sc_resp_v2_3,Respiratory rate
d56_oxy_v3_2,Oxygen saturation
dc_ill_med7_freq_v2_3,Frequency
medhist_renal_v2_3,Renal
med_ongoing_end_31_v2_3___1,
med_ongoing_end_2_v2_3___1,
cm_level_4,Level 4
d182_smell_v3_2,Loss of sense of smell
pv60_musclepains_2,
medication_dose_17_v2_3,Dose
pospcr_chestpain_r2,pospcr_chestpain
diary_card_postvax1_v2_3_complete,
conmeds3_st_day_v2_3,Start Date - Day
dc_ill_adm_10_v2_3,Admission Day 10
d14_sae,
cm_med_route,Medication route
pospcr_hospitalised,Was participant Hospitalised?
pospcr_tired_dur,How long was the 'Tiredness (or fatigue or weakness)' symptom present (needs not be contiguous days)? 
dc_ill_med4_dat_v2_3,Date taken
pv60_fever_2,
med_stop_day_17_v2_3,Stop Date - Day
s6_skin_det_cs,Skin - Abnormal CS details
ae_sdate_6_v2_3,Stop Date
dc_ill_diarr_6_v2_3,Diarrhoea Day 6
s6_abdo,Abdomen
med_stop_yr_21_v2_3,Stop Date - Year
pospcr_nasal_onset,Date of onset (Nasal congestion):
d364_ns_1_v3_2___1,
pv60_fatigue_2,
pospcr_chestpain_qresol,Is symptom (chest pain) resolution date known?
s6_pax___1,
randomisation_date_time,Date and time of vaccination
d3_oth1_sp,
ev_naus_vom.1,
pospcr_symptoms_r2___7,
d14_chest_st,
ae_sae_28_v2_3,"If ticked, specify reason"
dc_ill_chill_5_v2_3,Chills Day 5
medication_dose_35_v2_3,Dose
pospcr_other_symptom_r2,Please specify other symptom:
dc_ill_chest_9_v2_3,Chest pain Day 9
d3_oth2,
medication_name_8_v2_3,Mediation Name or Therapy
pospcr_fever_resol,Date of symptom resolution (fever):
dc_pv_breath_2_v2_3,Day 2
icf_sc_read_v3_0,3. Was the participant given an opportunity to read informed consent form?
vs_un_ur_glucose_v2_3,Glucose
herbal3_st_yr_v2_3,Start Date Year
medication_dose_6_v2_3,Dose
vacc_dat,
scr_dat,
ae_outcome_26_v2_3,Outcome
icf_ad_copy_v1_0,16.  Was a copy of the informed consent placed in the participant file? 
med_stop_yr_25_v2_3,Stop Date - Year
ev_head.1,
pospcr_chills_resol,Date of symptom resolution (chills):
prevac_pax_3___1,
s6_headache,Headache
ae_sae_33_v2_3,"If ticked, specify reason"
dc_ill_med2_dat_v2_3,Date taken
med_stop_mo_21_v2_3,Stop Date - Month
excl26,
d42_dat_v3_2,1. Date:
d364_nasal_v3_2,Nasal congestion
med_start_yr_34_v2_3,Start Date - Year
d7_throat,
vac_scr_id,
dc_pv_swelling_6_v2_3,Day 6
medhist_skin_det_v2_3,Details
pospcr_symptoms_r2___13,
med_stop_mo_15_v2_3,Stop Date - Month
s1_malaise,Malaise
pospcr_norb_dur_r2,How long was the 'New onset rapid breathing' symptom present (needs not be contiguous days)? 
medication_tmt_3_v2_3,Prophylaxis or Treatment
pospcr_date_r2,Date of review:
icf_ad_tel_cons_v1_0,5. Was informed consent obtained from the participant for their continued participation in the study? 
dc_pv_med2_v2_3,Name of medication
sc_ns_1_tim,
dc_ill_chest_4_v2_3,Chest pain Day 4
med_stop_date_15_v2_3,
scr_comment,
d42_rapid_v3_2,Rapid breathing
s1_pulse,Pulse rate
ae_sae_11_v2_3,"If ticked, specify reason"
sc_id_v2_3,"Demographics of Participant
(the person who signs ICFs, as it appears on their ID document/s) 
"
d182_eyes_st_v3_2,Start date
ae_related_28_v2_3,Relationship to Study Vaccine
d364_oth2_v3_2,Other
medication_dose_16_v2_3,Dose
pospcr_sp02_level,Sp02 level:
ae_og_16_v2_3___1,
medication_frequency_11_v2_3,Frequency
s1_resp_det_ncs,Respiratory - Abnormal NCS details
d364_oth2_sp_v3_2,Other: Specify
med_start_day_8_v2_3,Start Date - Day
d364_ns_2b_tim_v3_2,Time
icf_vc_read_v3_0,3. Was the participant given an opportunity to read informed consent form?
medhist_neuro_det_v2_3,Details
dc_ill_chest_5_v2_3,Chest pain Day 5
s6_inject,Injection site
dc_pv_hard_visit_v2_3,Medical visit
ae_sae_10_v2_3,"If ticked, specify reason"
dc_ill_smell_7_v2_3,Loss of sense of smell Day 7
pospcr_clin_prog,WHO clinical progression score
pospcr_symptoms___10,
icf_lang_v2_3,8. Preferred language for signing ICF
d182_serum_13_v3_2___1,
dc_ill_eyes_5_v2_3,Redness of the eyes Day 5
pospcr_throat_resol,Date of symptom resolution (sore throat):
medication_dose_4_v2_3,Dose
medhist_autoimm_v2_3,Autoimmune
med_stop_mo_30_v2_3,Stop Date - Month
dc_pv_head_6_v2_3,Day 6
ae_outcome_22_v2_3,Outcome
pv60_nausea,
icf_sc_id_v3_0,<div class=\rich-text-field-label\><p>Re-enter the screening ID (e.g. X-9XXXX)</p></div>
ae_sdate_30_v2_3,Stop Date
med_stop_yr_12_v2_3,Stop Date - Year
d364_eyes_v3_2,Redness of the eyes
d3_locked_date,
d7_oth2_st,
d3_fever,
dc_ill_med11_freq_v2_3,Frequency
pospcr_lrtd_onset_r2,Date of onset (radiographic findings consistent with LRTD):
prevac_serum_2b___1,
d14_oth2,
icf_ad_tel_sign_v1_0,"7. If yes, was participant informed that they need to sign the consent form at their next clinic visit? "
dc_ill_med4_freq_v2_3,Frequency
icf_re_oth__vers_v3_0,Version
vs_un_scr_dat_v2_3,1. Date:
d3_body,
medication_dis_3_v2_3,Disease Indication
medication_dis_5_v2_3,Disease Indication
medication_frequency_10_v2_3,Frequency
ae_related_29_v2_3,Relationship to Study Vaccine
s6_vacc_route,Route
pospcr_diarr_qresol,Is symptom (diarrhea) resolution date known?
med_start_date_15_v2_3,
ae_sdate_15_v2_3,Stop Date
medication_tmt_27_v2_3,Prophylaxis or Treatment
ae_sev_13_v2_3,Severity
dc_ill_chill_8_v2_3,Chills Day 8
s1_inject_det_cs,Injection site - Abnormal CS details
ae_sev_19_v2_3,Severity
s6_ent_det_ncs,ENT - Abnormal NCS details
ev_nasal.1,
dc_pv_bruis_1_v2_3,Day 1
d56_chest_st_v3_2,Start date
dc_pv_feverish_1_v2_3,Day 1
pospcr_chestpain_onset_r2,Date of onset (chest pain):
d7_fever_st,
allergen1_det_2_v2_3,Details
exam_abdo_det_ns_v2_3,Abdomen - Abnormal CS details
dc_pv_med4_freq_v2_3,Frequency
pospcr_nose_onset_r2,Date of onset (Runny nose):
medication_dose_unit_7_v2_3,Unit Code
d28_body_st,
scr_col_tim,
d28_family_id3,
vs_un_oxy_room_v2_3,Oxygen
d42_conmed_v3_2,7. Did the participant take any concomitant medication since previous visit?
medication_tmt_8_v2_3,Prophylaxis or Treatment
ae_sev_20_v2_3,Severity
ev_comment,
medication_name_5_v2_3,Mediation Name or Therapy
pospcr_asymptomatic,Was the COVID-19 infection entirely asymptomatic?
ae_date_22_v2_3,Start Date
ae_name_24_v2_3,Adverse event name
medication_name_15_v2_3,Mediation Name or Therapy
d56_throat_st_v3_2,Start date
icf_all_v2_3,16. Was a copy of all 3 signed ICF's placed in the participant file?
excl6,
dc_pv_taste_0_v2_3,Day 0
dc_ill_med9_freq_v2_3,Frequency
pospcr_sob_onset_r2,Date of onset (sob):
medication_name_23_v2_3,Mediation Name or Therapy
prevac_preg_res_2,
pospcr_vomit_onset,Date of onset (Nausea or vomiting):
ev_oth2_st,
icf_re_oth_na_v3_0___1,
med_dat_v2_3,1. Date:
med_start_day_18_v2_3,Start Date - Day
medhist_infect_det_v2_3,Details
dc_pv_sweat_3_v2_3,Day 3
dc_pv_hard_6_v2_3,Day 6
medication_dose_2_v2_3,Dose
medication_dis_23_v2_3,Disease Indication
